"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie werden eine E-Mail mit einer detaillierten Bestell-Bestätigung erhalten."
"Mage_Customer::Registered Customers","KUNDENLOGIN"
"Mage_Customer::Forgot Your Password?","Passwort vergessen?"
"Mage_Customer::New Customers","REGISTRIERUNG"
"Mage_Customer::Login or Create an Account","Anmelden oder ein neues Konto erstellen"
"Mage_Customer::Create an Account","Konto erstellen"
"Mage_Customer::If you have an account with us, please log in.","Haben Sie schon ein Konto? Bitte melden Sie sich unter an."
"Mage_Customer::* Required Fields","* Pflichtangabe"
"Mage_Customer::Login","Login"
"Mage_Customer::Email Address","E-Mail-Adresse"
"Mage_Customer::Password","Passwort"
"Mage_Page::Welcome, %s!","Willkommen, %s!"
"Mage_Core::Search","Hier Artikelnummer eingeben"
"Mage_Customer::My Account","Mein Konto"
"Mage_Wishlist::My Wishlist","Merkzettel"
"Mage_Customer::Log Out","Logout"
"Mage_Checkout::You have no items in your shopping cart.","Sie haben noch keine Artikel in Ihrem Warenkorb. "
"Mage_Checkout::Shopping Cart is Empty","Ihr Einkaufswagen ist leer."
"Mage_Checkout::Click <a href="%s">here</a> to continue shopping.","Klicken Sie <a href="%s">hier</a> um weiter einzukaufen."
"Mage_Core::This is a required field.","Dieses Feld ist erforderlich "
"Mage_Customer::First Name","Vorname"
"Mage_Customer::Last Name","Nachname"
"Mage_Customer::Tax/VAT number","UID-Nr."
"Mage_Customer::Company","Firma"
"Mage_Customer::Telephone","Telefon "
"Mage_Customer::Street Address","Adresse"
"Mage_Customer::City","Stadt"
"Mage_Customer::Country","Land"
"Mage_Customer::Zip/Postal Code","Postleitzahl"
"Mage_Customer::Confirm Password","Passwort bestätigen"
"Mage_Customer::State/Province","Staat/Provinz"
"Mage_Customer::Sign Up for Newsletter","Newsletter Abonnement"
"Mage_Customer::Submit","speichern"
"Mage_Newsletter::Subscribe","anmelden"
"Mage_Customer::Back","Zurück"
"Mage_Customer::Invalid login or password.","Login fehlgeschlagen"
"This account is not activated.","Haben Sie schon ein Konto? Bitte melden Sie sich unter an <a href=""mailto:sales@cosmetal.it"">sales@cosmetal.it</a>"
"Numero","N."
"Modello","Mod&eacutele"
"Codice","R&eacute;f&eacute;rence"
"Unit price","Prix brut unitaire"
"Total","Montantbrut"
"View shopping cart","Warenkorb sehen"
"Riepilogo Ordine","Auftragsbest&#228;tigung"
"Minimum order amount is %s","Minimum pour la commande: %s euro, prix au net."
"Login or Create an Account","Anmelden oder ein neues Konto erstellen"
"New Customers","Registrierung"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Durch Ihre Anmeldung bei uns sind Sie in der Lage die Explosionzeichnungen und hydraulische Schema der ganze Produktpalette zu visualieren, Ersatzteile, Zubehör und Verbrauchsmaterialen zu bestellen, auf den Cosmetal-Downloadbereich zuzugreifen "
"Forgot Your Password?","Passwort vergessen?"
"Registered Customers","Kundenlogin"
"If you have an account with us, please log in.","Haben Sie schon ein Konto? Bitte melden Sie sich unter an"
"Retrieve your password here","Ihr Passwort hier abrufen"
"Please enter your email address below. You will receive a link to reset your password.","Bitte geben Sie Ihre Email-Adresse ein. Bald bekommen Sie einen Link um Ihr Passwort neu zu setzen."
"You have no items in your shopping cart.","Ihr Warenkorb ist zurzeit leer"
"Shopping Cart is Empty","Keine Artikeln in dem Korb."
Click <a href="%s">here</a> to continue shopping.,"Hier <a href="%s">klicken züruck</a> zum Einkauf. "
"You are now logged out","Jetzt sind Sie abgemeldet"
"You have logged out and will be redirected to our homepage in 5 seconds.","Sie sind abgemeldet und in 5 Secunden werden auf unserer Startseite weitergeleitet."
"esprimo il consenso al trattamento dei miei dati personali","Ich erlaube die Verarbeitung meiner persönlichen Daten"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Wenn es ein Konto zugeordnet mit %s gibt, werden Sie eine Mail mit einem Link zum Zur&#252;cksetzen Ihres Passworts erhalten."
"%s was added to your shopping cart.","Der Artikel wurde zu Ihrem Warenkorb hinzugefügt. "
"Thank you for registering with %s."," "
"Scegli i ricambi cliccando sul disegno o scrivendo le quanitità e premi il tasto AGGIUNGI AL CARRELLO","Um den Ersatzteil zu wählen, bitte klicken Sie auf die Zeichnung und geben Sie die Menge an. Dann klicken Sie auf die Tasten ""in den Warenkorb""."
"Stampa la pagina (DISEGNO + LISTA)","Seite drucken (Zeichnung + Liste)"
"Please specify the quantity of product(s).","Bitte, die Menge bestimmen"
"Sign Up for Our Newsletter:","Anmeldung für Newsletter:"
"Sign Up for Newsletter","Anmeldung für Newsletter"
"Sign up for our newsletter","Anmeldung für Newsletter"
