"Mage_Page::Welcome, %s!","Welcome, %s!"
"Mage_Customer::My Account","My account"
"Mage_Wishlist::My Wishlist","Wishlist"
"Mage_Customer::Registered Customers","CUSTOMER'S ACCESS"
"Mage_Customer::If you have an account with us, please log in.","If you already have an account with us, please log in."
"Mage_Customer::New Customers","REGISTRATION"
"Mage_Customer::Forgot Your Password?","Forgot your password?"
"Mage_Customer::Login or Create an Account","Access or sign in new account"
"Mage_Customer::* Required Fields","* mandatory field"
"Mage_Customer::Login","Login"
"Mage_Customer::Create an Account","Create account"
"Mage_Customer::By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creating a new account you will be able to see the exploded views and the hydraulic systems of all our products, place your order of spare parts, optional and consumables directly, and access to Cosmetal download area."
"Mage_Customer::Log Out","Logout"
"Mage_Newsletter::Subscribe","Sign in"
"Mage_Checkout::Shopping Cart is Empty","Your Basket is empty."
"Mage_Checkout::You have no items in your shopping cart.","There are no items in your basket"
"Mage_Checkout::Click <a href="%s">here</a> to continue shopping.","Click <a href="%s">here</a> to continue your purchase."
"Mage_Customer::First Name","First Name"
"Mage_Customer::Last Name","Last Name"
"Mage_Customer::Email Address","User name/Email"
"Mage_Customer::Tax/VAT number","Tax/VAT number"
"Mage_Customer::Company","Company"
"Mage_Customer::Telephone","Telephone"
"Mage_Customer::Street Address","Address"
"Mage_Customer::City","City"
"Mage_Customer::State/Province","State/Province"
"Mage_Customer::Zip/Postal Code","Zip/Postal Code"
"Mage_Customer::Country","Country"
"Mage_Customer::Confirm Password","Confirm password"
"Mage_Customer::Sign Up for Newsletter","Sign Up for Newsletter"
"Mage_Core::This is a required field.","* mandatory field"
"Mage_Customer::Submit","Submit"
"Mage_Customer::Back","Back"
"Mage_Customer::Invalid login or password.","Invalid login or password"
"Mage_Checkout::Shopping Cart","Basket"
"Mage_Checkout::Modello","Model"
"Mage_Checkout::Numero","Position no. "
"Mage_Checkout::Codice","Code"
"Mage_Checkout::Product Name","Description"
"Mage_Checkout::Unit Price","Unit price"
"Mage_Checkout::Qty","Q."
"Mage_Checkout::Subtotal","Total"
"This account is not activated.","This account is not activated. For more information contact <a href=""mailto:sales@cosmetal.it"">sales@cosmetal.it</a>"
"Utente disconnesso","You are now logged out"
"esprimo il consenso al trattamento dei miei dati personali","I hereby consent to processing my personal data supplied"
"Riepilogo Ordine","Order summary"
"%s was added to your shopping cart.","The item was added to your shopping cart."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order."
"Thank you for registering with %s."," "
"Stampa la pagina (DISEGNO + LISTA)","Print this page (DESIGN + LIST)"
"Scegli i ricambi cliccando sul disegno o scrivendo le quanitità e premi il tasto AGGIUNGI AL CARRELLO","Select the parts clicking on the drawing or writing the quantity and press ADD TO CART"
"Sign Up for Our Newsletter:","Sign Up for Newsletter:"
"Sign up for our newsletter","Sign Up for Newsletter"
