"This account is not activated.","This account is not activated. For more information contact <a href=""mailto:sales@cosmetal.it"">sales@cosmetal.it</a>"
"View shopping cart","Ver Cesta"
"Riepilogo Ordine","Resumen del pedido"
"Login or Create an Account","Acceder o crear una cuenta"
"New Customers","Inscripci&#243;n"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nuestro servicio podrá ver los despieces y los sistemas hidráulicos de todas las familias de productos, hacer pedidos de piezas de repuesto, accesorios y consumibles, y acceder al área download Cosmetal."
"Forgot Your Password?","&#191;Olvid&#243; su contrase&#241;a?"
"Registered Customers","Acceso clientes"
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor, inicie la sesi&#243;n."
"Retrieve your password here","Recuperar contrase&#241;a"
"Please enter your email address below. You will receive a link to reset your password.","Introduzca su direcci&#243;n de correo electr&#243;nico. Usted recibir&#225; un enlace para restablecer su contrase&#241;a."
"You have no items in your shopping cart.","No tiene art&#237;culos en su cesta. Haga clic aqu&#237; para continuar con la compra."
"Shopping Cart is Empty","Su cesta est&#225; vac&#237;a"
Click <a href="%s">here</a> to continue shopping.,"<a href="%s">Cliquer</a>  pour proc&eacute;der &agrave; l'achat"
"You are now logged out","Su sesi&#243;n ha sido cerrada"
"You have logged out and will be redirected to our homepage in 5 seconds.","Su sesi&#243;n ha sido cerrada. En 5 segundos ser&#225; redirigido a nuestra p&#225;gina web."
"esprimo il consenso al trattamento dei miei dati personali","Doy mi consentimiento para el tratamiento de mis datos personales"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Si ya existe una cuenta con test@mcgroup.it, recibir&#225; en breve un correo electr&#243;nico con un enlace para restablecer su contrase&#241;a."
"%s was successfully added to your shopping cart.","El artículo fue agregado a su carrito de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un correo electrónico de confirmación de su Pedido con los detalles del mismo."
"Thank you for registering with %s."," "
"Scegli i ricambi cliccando sul disegno o scrivendo le quanitità e premi il tasto AGGIUNGI AL CARRELLO","Elige repuestos haciendo clic en el dibujo o escribiendo la cantitad y haz clic en ""Añadir al carro"""
"Stampa la pagina (DISEGNO + LISTA)","Imprime esta página (dibujo+lista)"
"Please specify the quantity of product(s).","Por favor especifica la cantitad de productos"
"You have logged out and will be redirected to our homepage in 5 seconds.","Su sesión ha sido cerrada. En 5 segundos será redirigido a nuestra página web"
"Sign Up for Our Newsletter:","Inscribirse en la newsletter:"
"Sign Up for Newsletter","Inscribirse en la newsletter"
"Sign up for our newsletter","Inscribirse en la newsletter"
"Minimum order amount is %s","Pedido mínimo de repuestos de %s , precios netos."
